ERROR 2025-06-16 19:27:39,776 basehttp 30293 6158397440 "GET /projects/1/ HTTP/1.1" 500 59
ERROR 2025-06-18 05:51:15,511 error_views 38448 8681377600 500 error: /tasks/1/edit/ - User: test@example.com
ERROR 2025-06-18 05:51:15,511 error_views 38448 8681377600 500 error: /tasks/1/edit/ - User: test@example.com
ERROR 2025-06-18 05:51:15,511 error_views 38448 8681377600 500 error: /tasks/1/edit/ - User: test@example.com
ERROR 2025-06-18 05:51:15,511 error_views 38448 8681377600 500 error: /tasks/1/edit/ - User: test@example.com
ERROR 2025-06-18 05:51:15,511 error_views 38448 8681377600 500 error: /tasks/1/edit/ - User: test@example.com
ERROR 2025-06-18 05:51:15,511 error_views 38448 8681377600 500 error: /tasks/1/edit/ - User: test@example.com
ERROR 2025-06-18 05:57:55,345 error_views 38529 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:57:55,346 error_views 38529 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:57:55,346 error_views 38529 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:57:55,346 error_views 38529 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:57:55,346 error_views 38529 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:57:55,346 error_views 38529 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:57:55,347 error_views 38529 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:57:55,347 error_views 38529 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:57:56,550 error_views 38529 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:57:56,550 error_views 38529 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:57:56,550 error_views 38529 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:57:56,550 error_views 38529 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:57:56,550 error_views 38529 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:57:56,550 error_views 38529 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:57:56,550 error_views 38529 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:57:56,550 error_views 38529 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:59:11,655 error_views 38655 8681377600 500 error: /projects/2/ - User: user1@example.com
ERROR 2025-06-18 05:59:11,655 error_views 38655 8681377600 500 error: /projects/2/ - User: user1@example.com
ERROR 2025-06-18 05:59:11,656 error_views 38655 8681377600 500 error: /projects/2/ - User: user1@example.com
ERROR 2025-06-18 05:59:11,656 error_views 38655 8681377600 500 error: /projects/2/ - User: user1@example.com
ERROR 2025-06-18 05:59:11,656 error_views 38655 8681377600 500 error: /projects/2/ - User: user1@example.com
ERROR 2025-06-18 05:59:11,656 error_views 38655 8681377600 500 error: /projects/2/ - User: user1@example.com
ERROR 2025-06-18 05:59:11,656 error_views 38655 8681377600 500 error: /projects/2/ - User: user1@example.com
ERROR 2025-06-18 05:59:11,656 error_views 38655 8681377600 500 error: /projects/2/ - User: user1@example.com
ERROR 2025-06-18 05:59:16,374 error_views 38655 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:59:16,374 error_views 38655 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:59:16,374 error_views 38655 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:59:16,374 error_views 38655 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:59:16,374 error_views 38655 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:59:16,374 error_views 38655 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:59:16,374 error_views 38655 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:59:16,374 error_views 38655 8681377600 500 error: /projects/1/edit/ - User: other@example.com
ERROR 2025-06-18 05:59:17,560 error_views 38655 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:59:17,560 error_views 38655 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:59:17,560 error_views 38655 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:59:17,561 error_views 38655 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:59:17,561 error_views 38655 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:59:17,561 error_views 38655 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:59:17,561 error_views 38655 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:59:17,561 error_views 38655 8681377600 500 error: /projects/1/ - User: other@example.com
ERROR 2025-06-18 05:59:25,063 error_views 38655 8681377600 500 error: /tasks/1/edit/ - User: test@example.com
ERROR 2025-06-18 05:59:25,063 error_views 38655 8681377600 500 error: /tasks/1/edit/ - User: test@example.com
ERROR 2025-06-18 05:59:25,063 error_views 38655 8681377600 500 error: /tasks/1/edit/ - User: test@example.com
ERROR 2025-06-18 05:59:25,063 error_views 38655 8681377600 500 error: /tasks/1/edit/ - User: test@example.com
ERROR 2025-06-18 05:59:25,063 error_views 38655 8681377600 500 error: /tasks/1/edit/ - User: test@example.com
ERROR 2025-06-18 05:59:25,063 error_views 38655 8681377600 500 error: /tasks/1/edit/ - User: test@example.com
ERROR 2025-06-18 05:59:25,063 error_views 38655 8681377600 500 error: /tasks/1/edit/ - User: test@example.com
ERROR 2025-06-18 05:59:25,064 error_views 38655 8681377600 500 error: /tasks/1/edit/ - User: test@example.com
