INFO 2025-06-15 09:33:46,846 autoreload 21127 8681377600 Watching for file changes with StatReloader
WARNING 2025-06-15 09:36:07,601 views 21509 6198734848 404 error: /static/js/general/general.js - User: tom_barratt@hotmail.co.uk
WARNING 2025-06-15 09:36:07,602 log 21509 6181908480 Not Found: /static/css/master.css
WARNING 2025-06-15 09:36:07,603 log 21509 6198734848 Not Found: /static/js/general/general.js
WARNING 2025-06-15 09:36:07,604 basehttp 21509 6181908480 "GET /static/css/master.css HTTP/1.1" 404 12815
WARNING 2025-06-15 09:36:07,604 basehttp 21509 6198734848 "GET /static/js/general/general.js HTTP/1.1" 404 12815
INFO 2025-06-15 09:36:13,121 autoreload 21509 8681377600 /Users/tombarratt/Desktop/Coding_Projects/toad/toad/settings.py changed, reloading.
INFO 2025-06-15 09:36:13,395 autoreload 21524 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 09:36:14,807 basehttp 21524 6202814464 "GET / HTTP/1.1" 200 11759
INFO 2025-06-15 09:36:14,827 basehttp 21524 6202814464 "GET /static/css/master.css HTTP/1.1" 200 91
INFO 2025-06-15 09:36:14,827 basehttp 21524 6219640832 "GET /static/js/general/general.js HTTP/1.1" 200 148
INFO 2025-06-15 09:36:14,829 basehttp 21524 6202814464 "GET /static/css/non-tailwind/non-tailwind.css HTTP/1.1" 200 1463
INFO 2025-06-15 09:36:14,830 basehttp 21524 6219640832 "GET /static/css/dist/styles.css HTTP/1.1" 200 35494
INFO 2025-06-15 09:37:37,929 autoreload 21524 8681377600 /Users/tombarratt/Desktop/Coding_Projects/toad/toad/urls.py changed, reloading.
INFO 2025-06-15 09:37:38,186 autoreload 21587 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 09:38:15,845 autoreload 21587 8681377600 /Users/tombarratt/Desktop/Coding_Projects/toad/toad/settings.py changed, reloading.
INFO 2025-06-15 09:38:16,084 autoreload 21610 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 09:38:22,251 autoreload 21610 8681377600 /Users/tombarratt/Desktop/Coding_Projects/toad/toad/settings.py changed, reloading.
INFO 2025-06-15 09:38:22,417 autoreload 21620 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 09:38:27,571 autoreload 21620 8681377600 /Users/tombarratt/Desktop/Coding_Projects/toad/toad/settings.py changed, reloading.
INFO 2025-06-15 09:38:27,795 autoreload 21627 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 09:38:30,123 basehttp 21627 6190002176 "GET / HTTP/1.1" 200 11759
WARNING 2025-06-15 09:38:30,144 views 21627 6190002176 404 error: /static/css/dist/styles.css - User: tom_barratt@hotmail.co.uk
WARNING 2025-06-15 09:38:30,146 log 21627 6190002176 Not Found: /static/css/dist/styles.css
WARNING 2025-06-15 09:38:30,147 basehttp 21627 6190002176 "GET /static/css/dist/styles.css HTTP/1.1" 404 12815
INFO 2025-06-15 09:41:39,989 autoreload 21627 8681377600 /Users/tombarratt/Desktop/Coding_Projects/toad/toad/urls.py changed, reloading.
INFO 2025-06-15 09:41:40,238 autoreload 21774 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 09:48:57,632 autoreload 22026 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 09:49:04,001 basehttp 22026 6192967680 "GET / HTTP/1.1" 200 11759
WARNING 2025-06-15 09:49:04,022 views 22026 6192967680 404 error: /static/css/dist/styles.css - User: tom_barratt@hotmail.co.uk
WARNING 2025-06-15 09:49:04,022 views 22026 6209794048 404 error: /static/css/non-tailwind/non-tailwind.css - User: tom_barratt@hotmail.co.uk
WARNING 2025-06-15 09:49:04,025 log 22026 6192967680 Not Found: /static/css/dist/styles.css
WARNING 2025-06-15 09:49:04,025 log 22026 6209794048 Not Found: /static/css/non-tailwind/non-tailwind.css
WARNING 2025-06-15 09:49:04,026 basehttp 22026 6192967680 "GET /static/css/dist/styles.css HTTP/1.1" 404 12815
WARNING 2025-06-15 09:49:04,026 basehttp 22026 6209794048 "GET /static/css/non-tailwind/non-tailwind.css HTTP/1.1" 404 12815
INFO 2025-06-15 09:49:10,985 basehttp 22026 6209794048 "GET / HTTP/1.1" 200 11759
WARNING 2025-06-15 09:49:11,001 views 22026 6209794048 404 error: /static/css/master.css - User: tom_barratt@hotmail.co.uk
WARNING 2025-06-15 09:49:11,002 views 22026 6192967680 404 error: /static/js/general/general.js - User: tom_barratt@hotmail.co.uk
WARNING 2025-06-15 09:49:11,003 log 22026 6209794048 Not Found: /static/css/master.css
WARNING 2025-06-15 09:49:11,004 log 22026 6192967680 Not Found: /static/js/general/general.js
WARNING 2025-06-15 09:49:11,005 basehttp 22026 6209794048 "GET /static/css/master.css HTTP/1.1" 404 12815
WARNING 2025-06-15 09:49:11,005 basehttp 22026 6192967680 "GET /static/js/general/general.js HTTP/1.1" 404 12815
WARNING 2025-06-15 09:49:11,120 views 22026 6192967680 404 error: /static/css/master.css - User: tom_barratt@hotmail.co.uk
WARNING 2025-06-15 09:49:11,122 log 22026 6192967680 Not Found: /static/css/master.css
WARNING 2025-06-15 09:49:11,122 basehttp 22026 6192967680 "GET /static/css/master.css HTTP/1.1" 404 12815
INFO 2025-06-15 09:49:56,732 autoreload 22198 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 09:50:37,200 autoreload 22026 8681377600 /Users/tombarratt/Desktop/Coding_Projects/toad/toad/urls.py changed, reloading.
INFO 2025-06-15 09:50:37,435 autoreload 22237 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 09:53:09,178 autoreload 22624 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 09:53:17,792 basehttp 22624 6164819968 "HEAD /static/css/dist/styles.css HTTP/1.1" 200 0
INFO 2025-06-15 09:53:48,017 basehttp 22624 6164819968 "HEAD /static/css/master.css HTTP/1.1" 200 0
INFO 2025-06-15 09:55:03,615 basehttp 22624 6164819968 "HEAD /static/js/general/general.js HTTP/1.1" 200 0
INFO 2025-06-15 10:03:41,874 autoreload 22766 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 10:03:52,081 basehttp 22624 6164819968 "GET / HTTP/1.1" 200 11759
INFO 2025-06-15 10:03:52,105 basehttp 22624 6181646336 "GET /static/js/general/general.js HTTP/1.1" 200 148
INFO 2025-06-15 10:03:52,106 basehttp 22624 6164819968 "GET /static/css/master.css HTTP/1.1" 200 91
INFO 2025-06-15 10:03:52,111 basehttp 22624 6181646336 "GET /static/css/non-tailwind/non-tailwind.css HTTP/1.1" 200 1463
INFO 2025-06-15 10:03:52,112 basehttp 22624 6164819968 "GET /static/css/dist/styles.css HTTP/1.1" 200 35494
INFO 2025-06-15 10:03:58,413 autoreload 22791 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 10:04:15,676 autoreload 22812 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 10:04:17,549 basehttp 22812 6131970048 "GET /projects/ HTTP/1.1" 200 14373
WARNING 2025-06-15 10:04:21,053 views 22812 6131970048 404 error: /projects/dog - User: tom_barratt@hotmail.co.uk
WARNING 2025-06-15 10:04:21,057 log 22812 6131970048 Not Found: /projects/dog
WARNING 2025-06-15 10:04:21,058 basehttp 22812 6131970048 "GET /projects/dog HTTP/1.1" 404 12815
INFO 2025-06-15 10:04:28,427 basehttp 22812 6131970048 "GET / HTTP/1.1" 200 11759
INFO 2025-06-15 10:04:29,782 basehttp 22812 6131970048 "GET /projects/ HTTP/1.1" 200 14373
INFO 2025-06-15 11:41:46,461 autoreload 23816 8681377600 Watching for file changes with StatReloader
WARNING 2025-06-15 11:41:49,030 views 23816 6192836608 404 error: /projects/dog - User: tom_barratt@hotmail.co.uk
WARNING 2025-06-15 11:41:49,041 log 23816 6192836608 Not Found: /projects/dog
WARNING 2025-06-15 11:41:49,042 basehttp 23816 6192836608 "GET /projects/dog HTTP/1.1" 404 12815
INFO 2025-06-15 11:41:49,064 basehttp 23816 6209662976 "GET /static/css/non-tailwind/non-tailwind.css HTTP/1.1" 304 0
INFO 2025-06-15 11:41:49,064 basehttp 23816 6192836608 "GET /static/css/dist/styles.css HTTP/1.1" 304 0
INFO 2025-06-15 11:41:50,476 basehttp 23816 6192836608 "GET / HTTP/1.1" 200 11759
INFO 2025-06-15 11:41:52,059 basehttp 23816 6192836608 "GET / HTTP/1.1" 200 11759
INFO 2025-06-15 11:43:29,777 basehttp 23816 6192836608 "GET / HTTP/1.1" 200 11759
INFO 2025-06-15 11:43:29,796 basehttp 23816 6209662976 "GET /static/js/general/general.js HTTP/1.1" 200 148
INFO 2025-06-15 11:43:29,796 basehttp 23816 6192836608 "GET /static/css/master.css HTTP/1.1" 200 91
INFO 2025-06-15 11:43:29,861 basehttp 23816 6209662976 "GET /static/css/non-tailwind/non-tailwind.css HTTP/1.1" 200 1463
INFO 2025-06-15 11:43:29,862 basehttp 23816 6192836608 "GET /static/css/dist/styles.css HTTP/1.1" 200 35494
INFO 2025-06-15 11:44:43,401 autoreload 24163 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 11:45:12,274 basehttp 23816 6192836608 "GET /static/img/favicon.svg HTTP/1.1" 200 441
INFO 2025-06-15 11:45:20,840 basehttp 23816 6192836608 "GET / HTTP/1.1" 200 10354
INFO 2025-06-15 11:45:53,039 basehttp 23816 6192836608 "GET / HTTP/1.1" 200 11979
INFO 2025-06-15 11:45:53,054 basehttp 23816 6209662976 "GET /static/js/general/general.js HTTP/1.1" 200 148
INFO 2025-06-15 11:45:53,055 basehttp 23816 6192836608 "GET /static/css/master.css HTTP/1.1" 200 91
INFO 2025-06-15 11:45:53,156 basehttp 23816 6209662976 "GET /static/css/non-tailwind/non-tailwind.css HTTP/1.1" 200 1463
INFO 2025-06-15 11:45:53,157 basehttp 23816 6192836608 "GET /static/css/dist/styles.css HTTP/1.1" 200 35494
INFO 2025-06-15 11:46:41,234 autoreload 23816 8681377600 /Users/tombarratt/Desktop/Coding_Projects/toad/toad/settings.py changed, reloading.
INFO 2025-06-15 11:46:41,515 autoreload 24294 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 11:46:44,644 autoreload 24294 8681377600 /Users/tombarratt/Desktop/Coding_Projects/toad/toad/settings.py changed, reloading.
INFO 2025-06-15 11:46:44,813 autoreload 24309 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 11:46:47,914 basehttp 24309 6134493184 "GET / HTTP/1.1" 200 11979
INFO 2025-06-15 11:46:50,620 basehttp 24309 6134493184 "GET / HTTP/1.1" 200 11979
INFO 2025-06-15 11:46:51,171 basehttp 24309 6134493184 "GET /projects/ HTTP/1.1" 200 14593
INFO 2025-06-15 11:46:52,056 basehttp 24309 6134493184 "GET / HTTP/1.1" 200 11979
INFO 2025-06-15 11:47:07,538 basehttp 24309 6134493184 "GET / HTTP/1.1" 200 11979
INFO 2025-06-15 11:47:07,555 basehttp 24309 6151319552 "GET /static/js/general/general.js HTTP/1.1" 200 148
INFO 2025-06-15 11:47:07,556 basehttp 24309 6134493184 "GET /static/css/master.css HTTP/1.1" 200 91
INFO 2025-06-15 11:47:07,638 basehttp 24309 6151319552 "GET /static/css/non-tailwind/non-tailwind.css HTTP/1.1" 200 1463
INFO 2025-06-15 11:47:07,638 basehttp 24309 6134493184 "GET /static/css/dist/styles.css HTTP/1.1" 200 35494
INFO 2025-06-15 11:48:12,516 basehttp 24309 6134493184 "GET / HTTP/1.1" 200 11759
INFO 2025-06-15 11:48:18,972 autoreload 24511 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 11:48:25,024 basehttp 24511 6166065152 "GET / HTTP/1.1" 200 11759
INFO 2025-06-15 11:48:25,040 basehttp 24511 6182891520 "GET /static/js/general/general.js HTTP/1.1" 200 148
INFO 2025-06-15 11:48:25,040 basehttp 24511 6166065152 "GET /static/css/master.css HTTP/1.1" 200 91
INFO 2025-06-15 11:48:25,108 basehttp 24511 6182891520 "GET /static/css/non-tailwind/non-tailwind.css HTTP/1.1" 200 1463
INFO 2025-06-15 11:48:25,109 basehttp 24511 6166065152 "GET /static/css/dist/styles.css HTTP/1.1" 200 35494
INFO 2025-06-15 11:49:09,553 autoreload 24671 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 11:49:12,222 basehttp 24671 6203371520 "GET / HTTP/1.1" 200 11759
INFO 2025-06-15 11:49:53,994 basehttp 24671 6203371520 "HEAD /static/img/favicon.svg HTTP/1.1" 200 0
INFO 2025-06-15 11:50:01,063 basehttp 24671 6203371520 "GET / HTTP/1.1" 200 10354
INFO 2025-06-15 11:50:24,854 autoreload 24671 8681377600 /Users/tombarratt/Desktop/Coding_Projects/toad/toad/urls.py changed, reloading.
INFO 2025-06-15 11:50:25,131 autoreload 24755 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 11:50:47,176 basehttp 24755 6168113152 "HEAD /favicon.svg HTTP/1.1" 200 0
INFO 2025-06-15 11:51:13,164 autoreload 24799 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 11:51:15,649 basehttp 24799 6159888384 "GET / HTTP/1.1" 200 11763
INFO 2025-06-15 11:51:15,674 basehttp 24799 6159888384 "GET /static/img/favicon.svg?v=2 HTTP/1.1" 200 226
INFO 2025-06-15 11:51:35,982 basehttp 24799 6159888384 "GET / HTTP/1.1" 200 11756
INFO 2025-06-15 11:55:11,837 basehttp 24799 6159888384 "GET /projects/ HTTP/1.1" 200 14377
INFO 2025-06-15 11:55:32,860 basehttp 24799 6159888384 "GET /projects/1/ HTTP/1.1" 200 136768
INFO 2025-06-15 11:55:32,872 basehttp 24799 6159888384 "GET /static/js/grid/grid.js HTTP/1.1" 200 8252
INFO 2025-06-15 11:55:34,758 basehttp 24799 6159888384 "POST /tasks/44/toggle/ HTTP/1.1" 200 79
INFO 2025-06-15 17:10:48,341 autoreload 25274 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 17:10:52,449 basehttp 25274 6189166592 "GET /projects/ HTTP/1.1" 200 14377
INFO 2025-06-15 17:10:52,471 basehttp 25274 6189166592 "GET /static/js/general/general.js HTTP/1.1" 304 0
INFO 2025-06-15 17:10:52,480 basehttp 25274 6205992960 "GET /static/css/non-tailwind/non-tailwind.css HTTP/1.1" 304 0
INFO 2025-06-15 17:10:52,483 basehttp 25274 6189166592 "GET /static/css/dist/styles.css HTTP/1.1" 200 35494
INFO 2025-06-15 17:10:53,259 basehttp 25274 6189166592 "GET / HTTP/1.1" 200 11756
INFO 2025-06-15 17:10:53,883 basehttp 25274 6189166592 "GET /projects/ HTTP/1.1" 200 14377
INFO 2025-06-15 17:10:54,582 basehttp 25274 6189166592 "GET / HTTP/1.1" 200 11756
INFO 2025-06-15 17:10:55,359 basehttp 25274 6189166592 "GET /projects/ HTTP/1.1" 200 14377
INFO 2025-06-15 17:10:57,267 basehttp 25274 6189166592 "GET / HTTP/1.1" 200 11756
INFO 2025-06-15 17:10:57,830 basehttp 25274 6189166592 "GET /projects/ HTTP/1.1" 200 14377
INFO 2025-06-15 17:22:07,599 autoreload 25274 8681377600 /Users/tombarratt/Desktop/Coding_Projects/toad/pages/views.py changed, reloading.
INFO 2025-06-15 17:22:07,884 autoreload 25528 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 17:22:27,268 autoreload 25528 8681377600 /Users/tombarratt/Desktop/Coding_Projects/toad/pages/urls.py changed, reloading.
INFO 2025-06-15 17:22:27,499 autoreload 25543 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 17:24:57,983 autoreload 25543 8681377600 /Users/tombarratt/Desktop/Coding_Projects/toad/pages/views.py changed, reloading.
INFO 2025-06-15 17:24:58,254 autoreload 25573 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 17:25:30,445 autoreload 25729 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 17:25:32,715 basehttp 25729 6137262080 "GET /projects/ HTTP/1.1" 200 14803
INFO 2025-06-15 17:25:34,290 basehttp 25729 6137262080 "GET /templates/ HTTP/1.1" 200 21065
INFO 2025-06-15 17:25:39,825 basehttp 25729 6137262080 "GET /templates/student-jobs/ HTTP/1.1" 200 19976
INFO 2025-06-15 18:40:55,576 autoreload 26022 8681377600 Watching for file changes with StatReloader
INFO 2025-06-15 18:41:00,201 basehttp 26022 6169473024 "GET /templates/ HTTP/1.1" 200 22243
INFO 2025-06-15 18:41:00,216 basehttp 26022 6169473024 "GET /static/css/master.css HTTP/1.1" 304 0
INFO 2025-06-15 18:41:00,222 basehttp 26022 6169473024 "GET /static/css/non-tailwind/non-tailwind.css HTTP/1.1" 304 0
INFO 2025-06-15 18:41:00,226 basehttp 26022 6186299392 "GET /static/css/dist/styles.css HTTP/1.1" 200 39673
INFO 2025-06-15 18:41:13,084 basehttp 26022 6186299392 "GET /templates/student-jobs/ HTTP/1.1" 200 21154
INFO 2025-06-15 18:41:13,102 basehttp 26022 6186299392 "GET /static/css/dist/styles.css HTTP/1.1" 304 0
INFO 2025-06-15 18:41:26,566 basehttp 26022 6186299392 "GET /templates/student-revision/ HTTP/1.1" 200 22647
INFO 2025-06-15 18:41:26,587 basehttp 26022 6186299392 "GET /static/css/dist/styles.css HTTP/1.1" 304 0
INFO 2025-06-15 18:41:39,008 basehttp 26022 6186299392 "GET /templates/professionals-jobs/ HTTP/1.1" 200 20821
INFO 2025-06-15 18:41:39,028 basehttp 26022 6186299392 "GET /static/css/dist/styles.css HTTP/1.1" 304 0
INFO 2025-06-15 19:06:17,884 basehttp 26022 6169473024 "GET /projects/ HTTP/1.1" 200 15981
INFO 2025-06-15 19:06:17,906 basehttp 26022 6169473024 "GET /static/css/dist/styles.css HTTP/1.1" 304 0
INFO 2025-06-15 19:06:19,786 basehttp 26022 6169473024 "GET /projects/1/ HTTP/1.1" 200 138416
INFO 2025-06-15 19:06:19,802 basehttp 26022 6169473024 "GET /static/js/grid/grid.js HTTP/1.1" 304 0
INFO 2025-06-15 19:06:22,378 basehttp 26022 6169473024 "GET /projects/1/edit/ HTTP/1.1" 200 13707
INFO 2025-06-15 19:06:22,404 basehttp 26022 6169473024 "GET /static/img/favicon.svg?v=2 HTTP/1.1" 304 0
INFO 2025-06-15 19:06:25,394 basehttp 26022 6169473024 "POST /projects/1/edit/ HTTP/1.1" 302 0
INFO 2025-06-15 19:06:25,418 basehttp 26022 6169473024 "GET /projects/1/ HTTP/1.1" 200 138396
INFO 2025-06-15 19:07:00,287 views 26022 6169473024 User None created task: "Consider the emails you need" in project: Toad
INFO 2025-06-15 19:07:00,289 basehttp 26022 6169473024 "POST /projects/1/tasks/create/2/12/ HTTP/1.1" 200 2653
INFO 2025-06-15 19:07:24,002 views 26022 6169473024 User None created task: "When an error comes up (i.e. empty task box), put it into toad formatting" in project: Toad
INFO 2025-06-15 19:07:24,004 basehttp 26022 6169473024 "POST /projects/1/tasks/create/2/2/ HTTP/1.1" 200 2743
INFO 2025-06-15 19:07:55,802 views 26022 6169473024 User None created task: "Templates for Students, Professionals, Entrepreneurs" in project: Toad
INFO 2025-06-15 19:07:55,804 basehttp 26022 6169473024 "POST /projects/1/tasks/create/3/12/ HTTP/1.1" 200 2701
INFO 2025-06-15 19:08:08,783 basehttp 26022 6169473024 "GET /accounts/login/ HTTP/1.1" 302 0
INFO 2025-06-15 19:08:08,793 basehttp 26022 6169473024 "GET /projects/ HTTP/1.1" 200 15976
INFO 2025-06-15 19:08:10,098 basehttp 26022 6169473024 "GET /projects/ HTTP/1.1" 200 15976
INFO 2025-06-15 19:08:11,063 basehttp 26022 6169473024 "GET / HTTP/1.1" 200 13360
INFO 2025-06-15 19:08:15,162 basehttp 26022 6169473024 "GET /accounts/settings/ HTTP/1.1" 200 19030
INFO 2025-06-15 19:08:21,578 basehttp 26022 6169473024 "GET /accounts/settings/delete/ HTTP/1.1" 200 14866
INFO 2025-06-15 19:08:24,341 basehttp 26022 6169473024 "GET /accounts/settings/ HTTP/1.1" 200 19030
INFO 2025-06-15 19:08:33,024 basehttp 26022 6169473024 "GET /projects/ HTTP/1.1" 200 15976
INFO 2025-06-15 19:08:34,143 basehttp 26022 6169473024 "GET /projects/1/ HTTP/1.1" 200 146727
INFO 2025-06-15 19:08:46,443 views 26022 6169473024 User None created task: "Build out the account settings a bit more" in project: Toad
INFO 2025-06-15 19:08:46,445 basehttp 26022 6169473024 "POST /projects/1/tasks/create/3/2/ HTTP/1.1" 200 2679
INFO 2025-06-15 19:08:54,979 views 26022 6169473024 User None created task: "Think of how to have email verification" in project: Toad
INFO 2025-06-15 19:08:54,981 basehttp 26022 6169473024 "POST /projects/1/tasks/create/3/4/ HTTP/1.1" 200 2675
INFO 2025-06-15 19:08:59,964 views 26022 6169473024 User None created task: "List of Beta users" in project: Toad
INFO 2025-06-15 19:08:59,966 basehttp 26022 6169473024 "POST /projects/1/tasks/create/3/12/ HTTP/1.1" 200 2633
INFO 2025-06-15 19:13:41,696 views 26022 6169473024 User None created task: "Look at optimising HTMX requests with debouncing" in project: Toad
INFO 2025-06-15 19:13:41,704 basehttp 26022 6169473024 "POST /projects/1/tasks/create/2/3/ HTTP/1.1" 200 2693
INFO 2025-06-15 19:13:43,763 basehttp 26022 6169473024 "POST /tasks/57/toggle/ HTTP/1.1" 200 79
INFO 2025-06-15 19:13:44,680 basehttp 26022 6169473024 "POST /tasks/57/toggle/ HTTP/1.1" 200 79
INFO 2025-06-15 19:13:45,112 basehttp 26022 6169473024 "POST /tasks/57/toggle/ HTTP/1.1" 200 79
INFO 2025-06-15 19:13:45,438 basehttp 26022 6169473024 "POST /tasks/57/toggle/ HTTP/1.1" 200 79
INFO 2025-06-15 19:13:45,730 basehttp 26022 6169473024 "POST /tasks/57/toggle/ HTTP/1.1" 200 79
INFO 2025-06-15 19:13:45,922 basehttp 26022 6169473024 "POST /tasks/57/toggle/ HTTP/1.1" 200 79
INFO 2025-06-15 19:13:46,073 basehttp 26022 6169473024 "POST /tasks/57/toggle/ HTTP/1.1" 200 79
INFO 2025-06-15 19:13:46,225 basehttp 26022 6169473024 "POST /tasks/57/toggle/ HTTP/1.1" 200 79
INFO 2025-06-15 19:13:46,378 basehttp 26022 6169473024 "POST /tasks/57/toggle/ HTTP/1.1" 200 79
INFO 2025-06-15 19:13:46,523 basehttp 26022 6169473024 "POST /tasks/57/toggle/ HTTP/1.1" 200 79
INFO 2025-06-15 19:13:46,670 basehttp 26022 6169473024 "POST /tasks/57/toggle/ HTTP/1.1" 200 79
INFO 2025-06-15 19:13:46,814 basehttp 26022 6169473024 "POST /tasks/57/toggle/ HTTP/1.1" 200 79
INFO 2025-06-15 19:13:49,062 basehttp 26022 6169473024 "GET /static/css/dist/styles.css HTTP/1.1" 304 0
